Accession,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MZ402015,2021-06-17,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-IBX891840838730,Severe acute respiratory syndrome-related coronavirus,29794,complete,,USA: Minnesota,MN,Homo sapiens,,2021-05-21
ON021131,2022-03-18,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-N6NFFHB4K,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-03-05
OP771863,2022-11-03,BA.5.2.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-QDX42395084,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2022-10-10
ON883453,2022-06-30,BA.5.6,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-LC0715945,Severe acute respiratory syndrome-related coronavirus,29609,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-06-13
ON242528,2022-04-15,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-MMB14801007,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-03-21
OQ074363,2022-12-19,BQ.1.25.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-CYHHTTMRC,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-12-05
OM651474,2022-02-11,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-FG-261424,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-01-30
OK657699,2021-10-28,B.1.1.432,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-2000014593,Severe acute respiratory syndrome-related coronavirus,29849,complete,,USA,,Homo sapiens,,2020-12-14
ON296423,2022-04-20,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0575497,Severe acute respiratory syndrome-related coronavirus,29663,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-04-07
ON453125,2022-05-09,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-QDX36263427,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-04-23
MZ577548,2021-07-20,AY.3.1,4.3.1/1.23.1/v0.1.12/0.3.19,,LA-BIE-LSUH001122,Severe acute respiratory syndrome-related coronavirus,29678,complete,,"USA: Louisiana, Jefferson",LA,Homo sapiens,oronasopharynx,2021-07-11
OP780104,2022-11-04,BA.4.6,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX42604446,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-10-13
ON925201,2022-07-05,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-2-6087398,Severe acute respiratory syndrome-related coronavirus,29796,complete,,USA: NJ,NJ,Homo sapiens,,2022-05-23
MT811657,2020-07-29,B.1,4.3.1/1.23.1/v0.1.12/0.3.19,,SEARCH-0143-NBG,Severe acute respiratory syndrome-related coronavirus,29409,complete,,"USA: New Orleans, Louisiana",LA,Homo sapiens,oronasopharynx,2020-03-31
ON373210,2022-04-28,BA.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,DC-CDC-LC0581198,Severe acute respiratory syndrome-related coronavirus,29755,complete,,USA: District of Columbia,DC,Homo sapiens,oronasopharynx,2022-04-14
MW672891,2021-02-28,B.1.577,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-STM-000010246,Severe acute respiratory syndrome-related coronavirus,29822,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2021-02-05
OL774258,2021-12-08,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-179864,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-11-30
MW964679,2021-04-19,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-QDX23572006,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-04-02
OP944454,2022-12-05,BQ.1.1.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX43679206,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-11-15
MW844358,2021-04-01,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-000025157,Severe acute respiratory syndrome-related coronavirus,29884,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-02-25
OM953564,2022-03-09,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,SC-COVID22-0566,Severe acute respiratory syndrome-related coronavirus,29752,complete,,"USA: SC, UNION",SC,Homo sapiens,oronasopharynx,2022-01-19
OM861754,2022-02-28,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-ASC210818636,Severe acute respiratory syndrome-related coronavirus,29777,complete,,USA: California,CA,Homo sapiens,,2022-02-16
OM355111,2022-01-24,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,GA-CDC-STM-U92TTYKE5,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2022-01-08
MZ499319,2021-07-06,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,WV017138,Severe acute respiratory syndrome-related coronavirus,29823,complete,,USA: West Virginia,WV,Homo sapiens,,2021-01-16
OM844624,2022-02-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2102754293,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA,,Homo sapiens,,2022-01-20
ON363328,2022-04-27,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX35824998,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-04-10
OP238769,2022-08-17,BA.5.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-LC0822019,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-07-29
OM880280,2022-03-02,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-283929,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-17
OP801119,2022-11-09,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OKPHL0020488,Severe acute respiratory syndrome-related coronavirus,29753,complete,,"USA: Oklahoma, Seminole",OK,Homo sapiens,,2022-08-01
ON772676,2022-06-15,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-LC0683588,Severe acute respiratory syndrome-related coronavirus,29756,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-06-03
ON383104,2022-04-29,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX35974789,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-04-15
ON335021,2022-04-25,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-QDX35776346,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2022-04-07
MZ164337,2021-05-11,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-STM-000062210,Severe acute respiratory syndrome-related coronavirus,29829,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2021-04-25
OP741951,2022-10-31,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-HSG8SQQ8H,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-10-18
ON718554,2022-06-09,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-2EBTWN6XT,Severe acute respiratory syndrome-related coronavirus,29845,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-05-28
OP053976,2022-07-25,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX38676183,Severe acute respiratory syndrome-related coronavirus,29703,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-07-02
ON686139,2022-06-06,BA.2.3.17,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0662949,Severe acute respiratory syndrome-related coronavirus,29685,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-05-14
OM185456,2022-01-08,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,NM-UNM-ED00748,Severe acute respiratory syndrome-related coronavirus,29702,complete,,USA: New Mexico,NM,Homo sapiens,,2021-12-23
OP261646,2022-08-19,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,OK-CDC-QDX39798650,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Oklahoma,OK,Homo sapiens,oronasopharynx,2022-08-01
OM940900,2022-03-08,BA.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0549339,Severe acute respiratory syndrome-related coronavirus,29739,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-02-19
OQ342570,2023-01-27,BQ.1.10.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX45482708,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2023-01-10
OM718324,2022-02-16,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB13809478,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-01-23
ON520306,2022-05-16,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-STM-TWHYASW3F,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-05-04
ON701453,2022-06-07,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0651529,Severe acute respiratory syndrome-related coronavirus,29631,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-05-21
OM197829,2022-01-10,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-ASC210640817,Severe acute respiratory syndrome-related coronavirus,29794,complete,,USA: Pennsylvania,PA,Homo sapiens,,2021-12-26
OP112544,2022-08-01,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX38922355,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-07-11
ON393602,2022-05-02,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX36019028,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-04-16
OM419665,2022-01-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220119272359,Severe acute respiratory syndrome-related coronavirus,29782,complete,,USA,,Homo sapiens,,2022-01-10
OR301731,2023-07-20,B.1.240,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo15479,Severe acute respiratory syndrome-related coronavirus,29811,complete,,USA,,Homo sapiens,,2020-09-13
ON000946,2022-03-16,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,MP-CDC-2-5693485,Severe acute respiratory syndrome-related coronavirus,29854,complete,,USA: MP,MP,Homo sapiens,,2021-12-09
OL944171,2021-12-22,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB11718582,Severe acute respiratory syndrome-related coronavirus,29787,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-11-18
OM895221,2022-03-02,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-MMB14143387,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-02-03
OM233535,2022-01-12,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-230516,Severe acute respiratory syndrome-related coronavirus,29819,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2021-12-30
OP423986,2022-09-13,BE.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-LC0868578,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-08-29
ON789307,2022-06-17,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-LC0690588,Severe acute respiratory syndrome-related coronavirus,29694,complete,,USA: New York,NY,Homo sapiens,oronasopharynx,2022-06-01
ON686562,2022-06-06,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0663631,Severe acute respiratory syndrome-related coronavirus,29664,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-05-16
OM404578,2022-01-27,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB13614597,Severe acute respiratory syndrome-related coronavirus,29779,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-01-18
ON348415,2022-04-26,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0579983,Severe acute respiratory syndrome-related coronavirus,29664,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-04-07
MZ473125,2021-06-30,B.1.320,4.3.1/1.23.1/v0.1.12/0.3.19,,AZ-1564,Severe acute respiratory syndrome-related coronavirus,29836,complete,,"USA: AZ, Pinal",AZ,Homo sapiens,oronasopharynx,2020-06-29
ON309692,2022-04-21,BA.2.68,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-ASC210853270,Severe acute respiratory syndrome-related coronavirus,29733,complete,,USA: Arizona,AZ,Homo sapiens,,2022-04-07
OP165755,2022-08-07,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,KY-CDC-LC0803240,Severe acute respiratory syndrome-related coronavirus,29648,complete,,USA: Kentucky,KY,Homo sapiens,oronasopharynx,2022-07-16
ON861745,2022-06-28,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-STM-GJTDZVXSM,Severe acute respiratory syndrome-related coronavirus,29835,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-06-16
ON744096,2022-06-13,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX37256792,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-05-21
OM683073,2022-02-15,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-264885,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-06
OQ430997,2023-02-14,DT.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX46229503,Severe acute respiratory syndrome-related coronavirus,29715,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2023-01-25
OQ728681,2023-04-03,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-QDX48193274,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2023-03-20
ON019936,2022-03-18,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-STM-BAXTZQW6B,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2022-02-28
OL918116,2021-12-20,AY.39.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0411730,Severe acute respiratory syndrome-related coronavirus,29768,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2021-11-30
OQ582413,2023-03-07,BQ.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,WI-CDC-VSX-A061947,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Wisconsin,WI,Homo sapiens,,2023-02-17
MW968081,2021-04-20,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-ASC210012319,Severe acute respiratory syndrome-related coronavirus,29898,complete,,USA: California,CA,Homo sapiens,,2021-03-15
OM687749,2022-02-15,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CDC-4486869-001,Severe acute respiratory syndrome-related coronavirus,29836,complete,,USA: CA,CA,Homo sapiens,,2021-11-30
MZ260320,2021-05-21,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-ASC210004394,Severe acute respiratory syndrome-related coronavirus,29863,complete,,USA: Michigan,MI,Homo sapiens,,2021-03-09
OM669272,2022-02-14,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-267704,Severe acute respiratory syndrome-related coronavirus,29828,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-04
OL917140,2021-12-20,AY.118,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-LC0409662,Severe acute respiratory syndrome-related coronavirus,29672,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2021-11-29
OM136814,2022-01-05,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-3000283307,Severe acute respiratory syndrome-related coronavirus,29860,complete,,USA,,Homo sapiens,,2021-12-11
OP062926,2022-07-26,BA.4,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0773815,Severe acute respiratory syndrome-related coronavirus,29679,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-07-06
MW865103,2021-04-05,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-QDX22861267,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2021-03-10
OL952193,2021-12-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-ASC210394362,Severe acute respiratory syndrome-related coronavirus,29809,complete,,USA: Arizona,AZ,Homo sapiens,,2021-11-09
ON363747,2022-04-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX35917495,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-04-12
MZ647367,2021-07-28,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,UT-UPHL-210721757182,Severe acute respiratory syndrome-related coronavirus,29817,complete,,USA,,Homo sapiens,,2021-04-19
OM646090,2022-02-10,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,GA-CDC-MMB13649037,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Georgia,GA,Homo sapiens,oronasopharynx,2022-01-19
ON196860,2022-12-30,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,,NY-PV34862,Severe acute respiratory syndrome-related coronavirus,29704,complete,,USA,,Homo sapiens,oronasopharynx,2021-08-28
OM786657,2022-02-23,BA.1.1.16,4.3.1/1.23.1/v0.1.12/0.3.19,true,NH-CDC-LC0533120,Severe acute respiratory syndrome-related coronavirus,29716,complete,,USA: New Hampshire,NH,Homo sapiens,oronasopharynx,2022-02-06
ON958179,2022-07-11,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,DE-CDC-STM-G6NP67EKZ,Severe acute respiratory syndrome-related coronavirus,29835,complete,,USA: Delaware,DE,Homo sapiens,oronasopharynx,2022-06-26
MW739433,2021-03-14,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CZB-26856,Severe acute respiratory syndrome-related coronavirus,29856,complete,,"USA: CA, Contra Costa County",CA,Homo sapiens,,2021-01-30
MZ132418,2021-05-06,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-000058960,Severe acute respiratory syndrome-related coronavirus,29813,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2021-04-17
OP319381,2022-08-29,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-STM-AHGCX2U5B,Severe acute respiratory syndrome-related coronavirus,29817,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-08-11
MZ492137,2021-07-02,P.1.10,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB09102102,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-06-08
MW931415,2021-04-15,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-STM-000046623,Severe acute respiratory syndrome-related coronavirus,29784,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2021-03-29
ON118158,2022-03-31,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OR-CDC-QDX34993009,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA: Oregon,OR,Homo sapiens,oronasopharynx,2022-03-16
OQ763746,2023-04-06,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,NE-TESTNE_A1L77Z4,Severe acute respiratory syndrome-related coronavirus,29782,complete,,USA: Nebraska,NE,Homo sapiens,,2020-12-26
OL968786,2021-12-23,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-ASC210517120,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: Michigan,MI,Homo sapiens,,2021-12-01
OM822345,2022-02-25,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-MMB14128416,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-02-02
MW915165,2021-04-13,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_01703,Severe acute respiratory syndrome-related coronavirus,29808,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-03-21
OM046901,2021-12-28,AY.13,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-3000275310,Severe acute respiratory syndrome-related coronavirus,29836,complete,,USA,,Homo sapiens,,2021-11-20
ON928258,2022-07-06,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,KS-CDC-2-6139354,Severe acute respiratory syndrome-related coronavirus,29796,complete,,USA: KS,KS,Homo sapiens,oronasopharynx,2022-06-13
OL877859,2021-12-16,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB11410452,Severe acute respiratory syndrome-related coronavirus,29787,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-11-02
OP568414,2022-10-03,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX41497770,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-09-14
OM772784,2022-02-22,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,,GA-CDC-4497048-001,Severe acute respiratory syndrome-related coronavirus,29819,complete,,USA: GA,GA,Homo sapiens,oronasopharynx,2022-01-12
OM099819,2022-01-03,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-ASC210631689,Severe acute respiratory syndrome-related coronavirus,29799,complete,,USA: Texas,TX,Homo sapiens,,2021-12-20
OL822787,2021-12-12,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_SRHMQLY3TLA22HY3,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-12-02
OM101913,2022-01-03,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-STM-G6ZT9YP97,Severe acute respiratory syndrome-related coronavirus,29890,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-12-13
MZ320248,2021-06-01,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB08623454,Severe acute respiratory syndrome-related coronavirus,29781,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-05-03
ON740346,2022-06-12,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-QDX37439036,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-05-27
OL885144,2021-12-17,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB11675858,Severe acute respiratory syndrome-related coronavirus,29783,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2021-11-16
MZ336976,2021-06-03,B.1.637,4.3.1/1.23.1/v0.1.12/0.3.19,true,WV-CDC-QDX25063203,Severe acute respiratory syndrome-related coronavirus,29769,complete,,USA: West Virginia,WV,Homo sapiens,oronasopharynx,2021-05-17
OQ075005,2022-12-19,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX44166092,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-11-29
ON422338,2022-05-06,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-HKG3GAUHW,Severe acute respiratory syndrome-related coronavirus,29847,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-04-19
